"","run_name","out_name","grid_pth","wind_pth","volcano_name","vent_easting","vent_northing","vent_zone","vent_ht","min_ht","max_ht","min_mass","max_mass","min_dur","max_dur","constrain","nb_wind","wind_start","wind_per_day","seasonality","wind_start_rainy","wind_start_dry","constrain_eruption_date","eruption_date","constrain_wind_dir","min_wind_dir","max_wind_dir","trop_height","max_phi","min_phi","min_med_phi","max_med_phi","min_std_phi","max_std_phi","min_agg","max_agg","max_diam","long_lasting","ht_sample","mass_sample","nb_runs","write_conf","write_gs","write_fig_sep","write_fig_all","write_log_sep","write_log_all","par","par_cpu","eddy_const","diff_coeff","ft_thresh","lithic_dens","pumice_dens","col_step","part_step","alpha","beta"
"1","284160VEI3","284160VEI3OUT",NA,NA,"Agrigan","359816.389139638","2075902.37104394","55","965","3000","15000","8.9e+08","5.7e+10","1","12","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","4900","5000","2900","1000","50","50","3","1.5"
"2","264020VEI3","264020VEI3OUT",NA,NA,"Agung","335705.255979302","9077472.20972158","-50","2997","3000","15000","8.9e+08","5.7e+10","1","12","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","4900","5000","2900","1000","50","50","3","1.5"
"3","284180VEI3","284180VEI3OUT",NA,NA,"Alamagan","375857.387535608","1946315.29931073","55","744","3000","15000","8.9e+08","5.7e+10","1","12","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","4900","5000","2900","1000","50","50","3","1.5"
"4","257030VEI3","257030VEI3OUT",NA,NA,"Ambae","804333.116547219","8296648.92279792","-58","1496","3000","15000","8.9e+08","5.7e+10","1","12","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","4900","5000","2900","1000","50","50","3","1.5"
"5","254020VEI3","254020VEI3OUT",NA,NA,"Ambitle","572148.186513031","9549000.64668271","-56","450","3000","15000","8.9e+08","5.7e+10","1","12","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","4900","5000","2900","1000","50","50","3","1.5"
"6","257040VEI3","257040VEI3OUT",NA,NA,"Ambrym","192140.243919908","8201244.24172655","-59","1334","3000","15000","8.9e+08","5.7e+10","1","12","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","4900","5000","2900","1000","50","50","3","1.5"
"7","284200VEI3","284200VEI3OUT",NA,NA,"Anatahan","357940.75373605","1808115.2631677","55","790","3000","15000","8.9e+08","5.7e+10","1","12","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","4900","5000","2900","1000","50","50","3","1.5"
"8","263290VEI3","263290VEI3OUT",NA,NA,"Arjuno-Welirang","673695.998189837","9144897.92702648","-49","3339","3000","15000","8.9e+08","5.7e+10","1","12","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","4900","5000","2900","1000","50","50","3","1.5"
"9","284150VEI3","284150VEI3OUT",NA,NA,"Asuncion","332898.802565151","2175857.42394246","55","857","3000","15000","8.9e+08","5.7e+10","1","12","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","4900","5000","2900","1000","50","50","3","1.5"
"10","267040VEI3","267040VEI3OUT",NA,NA,"Awu","771811.923241044","408124.618694179","51","1318","3000","15000","8.9e+08","5.7e+10","1","12","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","4900","5000","2900","1000","50","50","3","1.5"
